equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Montpellier Hérault Rugby,2,0.5,0.5,0.44,0.49,0.5,4,0,4,0,14,12,2,7,3,7,91,8,25,24,125, 23,USA Perpignan,2023-03-25 17:00:00,2022-2023,USA Perpignan,Visitante,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,13.4,0.0,3.4,69.0,SERRALONGUE
RC Toulon,3,0.5,0.42,0.47,0.58,0.43,5,0,5,0,13,13,0,5,2,9,119,14,30,36,112, 27,LOU Rugby,2023-03-25 17:00:00,2022-2023,LOU Rugby,Visitante,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,13.5,0.0,1.7,62.0,BRINDAS
Aviron Bayonnais,2,0.5,0.58,0.61,0.43,0.57,4,1,2,1,12,9,1,4,2,10,116,4,18,24,150,20 ,Section Paloise,2023-03-25 17:00:00,2022-2023,Aviron Bayonnais,Local,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,15.6,0.0,2.2,52.0,GER
Section Paloise,3,0.5,0.42,0.39,0.57,0.43,7,4,2,1,15,13,2,1,3,11,112,5,24,28,138, 30,Aviron Bayonnais,2023-03-25 17:00:00,2022-2023,Aviron Bayonnais,Visitante,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,15.6,0.0,2.2,52.0,GER
LOU Rugby,2,0.5,0.58,0.53,0.42,0.57,13,2,8,3,12,10,0,3,3,10,56,1,17,28,163,23 ,RC Toulon,2023-03-25 17:00:00,2022-2023,LOU Rugby,Local,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,13.5,0.0,1.7,62.0,BRINDAS
CA Brive,0,0.5,0.45,0.24,0.54,0.48,3,2,1,0,10,6,3,3,1,17,158,14,33,16,139, 10,ASM Clermont,2023-03-25 17:00:00,2022-2023,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,3.9,0.0,8.0,90.0,SUPERBESSE
ASM Clermont,6,0.5,0.55,0.76,0.46,0.52,8,0,5,3,18,13,1,2,0,10,109,5,23,18,160,38 ,CA Brive,2023-03-25 17:00:00,2022-2023,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,3.9,0.0,8.0,90.0,SUPERBESSE
Union Bordeaux-Bègles,0,0.5,0.48,0.32,0.5,0.51,3,0,3,0,17,17,1,2,2,16,217,16,20,22,131,6 ,Stade Rochelais,2023-03-25 21:05:00,2022-2023,Union Bordeaux-Bègles,Local,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,13.0,0.0,2.9,67.0,ST SULPICE DE POMMIERS
Stade Rochelais,3,0.5,0.52,0.68,0.5,0.49,8,0,8,0,9,8,0,2,5,12,133,8,20,24,148, 36,Union Bordeaux-Bègles,2023-03-25 21:05:00,2022-2023,Union Bordeaux-Bègles,Visitante,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,13.0,0.0,2.9,67.0,ST SULPICE DE POMMIERS
Stade Français Paris,1,0.5,0.51,0.52,0.5,0.5,6,1,5,0,22,19,1,1,2,6,76,5,12,23,128,13 ,Racing 92,2023-03-26 21:05:00,2022-2023,Stade Français Paris,Local,Perdedor,Stade Jean-Bouin,Paris,Paris,8.8,0.0,7.8,75.0,LONGCHAMP
Racing 92,2,0.5,0.49,0.48,0.5,0.5,6,1,5,0,13,11,2,4,1,14,144,7,28,33,52, 17,Stade Français Paris,2023-03-26 21:05:00,2022-2023,Stade Français Paris,Visitante,Ganador,Stade Jean-Bouin,Paris,Paris,8.8,0.0,7.8,75.0,LONGCHAMP
Union Bordeaux-Bègles,1,0.5,0.36,0.15,0.62,0.38,9,1,8,0,8,8,2,7,7,8,130,16,26,31,112, 28,Racing 92,2023-04-15 15:00:00,2022-2023,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,13.3,0.0,4.7,70.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,3,0.5,0.64,0.85,0.38,0.62,8,3,5,0,15,12,0,5,1,10,97,4,23,28,138,31 ,Union Bordeaux-Bègles,2023-04-15 15:00:00,2022-2023,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,13.3,0.0,4.7,70.0,LONGCHAMP (Proxy via Stade Français)
Castres Olympique,4,0.5,0.32,0.34,0.69,0.36,6,3,3,0,12,9,0,2,0,14,217,7,29,25,104, 28,Montpellier Hérault Rugby,2023-04-15 17:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,16.8,0.0,10.5,27.0,PEZENAS-TOURBES
Stade Français Paris,3,0.5,0.5,0.48,0.49,0.5,5,0,4,1,14,8,1,5,2,15,99,6,18,23,103, 27,CA Brive,2023-04-15 17:00:00,2022-2023,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,15.6,0.0,4.0,41.0,BRIVE
Montpellier Hérault Rugby,3,0.5,0.68,0.66,0.31,0.64,10,1,5,4,14,12,0,4,0,8,135,1,22,19,221,19 ,Castres Olympique,2023-04-15 17:00:00,2022-2023,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,16.8,0.0,10.5,27.0,PEZENAS-TOURBES
RC Toulon,5,0.5,0.56,0.58,0.42,0.53,11,0,11,0,21,16,0,3,2,8,123,9,23,14,142,37 ,USA Perpignan,2023-04-15 17:00:00,2022-2023,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,10.8,0.0,11.6,48.0,LE CASTELLET-AERO
USA Perpignan,2,0.5,0.44,0.42,0.58,0.47,4,1,3,0,11,11,1,8,1,18,149,3,27,14,122, 15,RC Toulon,2023-04-15 17:00:00,2022-2023,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,10.8,0.0,11.6,48.0,LE CASTELLET-AERO
ASM Clermont,2,0.5,0.67,0.64,0.33,0.68,6,1,5,0,13,10,1,1,2,10,96,15,17,15,176, 18,Section Paloise,2023-04-15 17:00:00,2022-2023,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,12.5,0.0,4.9,58.0,GER
CA Brive,3,0.5,0.5,0.52,0.51,0.5,12,1,11,0,12,11,0,4,1,11,105,3,24,26,129,22 ,Stade Français Paris,2023-04-15 17:00:00,2022-2023,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,15.6,0.0,4.0,41.0,BRIVE
Section Paloise,2,0.5,0.33,0.36,0.67,0.32,6,0,5,1,10,6,0,4,3,14,159,6,30,29,96,23 ,ASM Clermont,2023-04-15 17:00:00,2022-2023,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,12.5,0.0,4.9,58.0,GER
Stade Rochelais,2,0.5,0.52,0.45,0.48,0.51,7,1,3,3,23,19,1,5,4,9,76,3,22,26,157,26 ,Aviron Bayonnais,2023-04-15 21:05:00,2022-2023,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,7.9,0.0,1.3,86.0,NUAILLE SUR BOUTONNE
Aviron Bayonnais,0,0.5,0.48,0.55,0.52,0.49,7,0,6,1,13,11,1,2,2,16,151,9,23,31,104, 6,Stade Rochelais,2023-04-15 21:05:00,2022-2023,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,7.9,0.0,1.3,86.0,NUAILLE SUR BOUTONNE
LOU Rugby,4,0.47,0.43,0.43,0.58,0.44,17,1,12,4,12,11,0,1,1,11,150,13,31,28,114, 31,Stade Toulousain,2023-04-16 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,9.4,0.0,3.5,72.0,MURET-LHERM
Stade Toulousain,2,0.53,0.57,0.57,0.42,0.56,1,0,1,0,13,13,0,9,5,4,101,14,20,23,175,36 ,LOU Rugby,2023-04-16 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,9.4,0.0,3.5,72.0,MURET-LHERM
Stade Rochelais,4,0.56,0.5,0.52,0.5,0.49,9,1,8,0,13,10,2,2,0,11,120,3,29,33,204,26 ,ASM Clermont,2023-04-22 15:00:00,2022-2023,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,16.6,0.0,5.9,60.0,NUAILLE SUR BOUTONNE
ASM Clermont,1,0.44,0.5,0.48,0.5,0.51,4,0,4,0,15,13,2,8,2,3,144,6,21,25,163, 13,Stade Rochelais,2023-04-22 15:00:00,2022-2023,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,16.6,0.0,5.9,60.0,NUAILLE SUR BOUTONNE
Montpellier Hérault Rugby,4,0.56,0.51,0.41,0.5,0.51,8,2,4,2,14,12,1,2,2,12,112,9,16,37,149, 30,Aviron Bayonnais,2023-04-22 17:00:00,2022-2023,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,14.1,0.0,1.0,81.0,GER
Section Paloise,2,0.62,0.58,0.71,0.43,0.59,11,0,7,4,13,8,1,4,1,15,60,9,8,31,167, 17,CA Brive,2023-04-22 17:00:00,2022-2023,CA Brive,Visitante,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,14.4,0.0,1.6,78.0,BRIVE
CA Brive,1,0.38,0.42,0.29,0.57,0.41,8,0,6,2,13,9,2,4,5,8,191,20,15,33,46,22 ,Section Paloise,2023-04-22 17:00:00,2022-2023,CA Brive,Local,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,14.4,0.0,1.6,78.0,BRIVE
Aviron Bayonnais,3,0.44,0.49,0.59,0.5,0.49,5,1,4,0,11,9,0,4,3,6,149,11,22,33,97,33 ,Montpellier Hérault Rugby,2023-04-22 17:00:00,2022-2023,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,14.1,0.0,1.0,81.0,GER
Castres Olympique,3,0.5,0.46,0.23,0.54,0.47,4,1,2,1,9,9,0,3,4,14,105,8,19,30,59,31 ,RC Toulon,2023-04-22 17:00:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,10.1,0.6,2.8,98.0,MONTREDON-LABESSONNIE
Racing 92,3,0.49,0.62,0.63,0.36,0.61,4,2,1,1,15,12,1,6,2,10,96,8,31,17,132, 21,USA Perpignan,2023-04-22 17:00:00,2022-2023,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,13.9,0.0,3.6,83.0,SERRALONGUE
RC Toulon,0,0.5,0.54,0.77,0.46,0.53,7,0,6,1,14,13,0,2,6,10,82,6,14,29,108, 18,Castres Olympique,2023-04-22 17:00:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,10.1,0.6,2.8,98.0,MONTREDON-LABESSONNIE
USA Perpignan,4,0.51,0.38,0.37,0.64,0.39,9,1,7,1,13,11,1,1,2,10,107,11,32,20,142,30 ,Racing 92,2023-04-22 17:00:00,2022-2023,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,13.9,0.0,3.6,83.0,SERRALONGUE
Stade Français Paris,1,0.64,0.66,0.8,0.36,0.67,8,1,7,0,10,9,3,1,4,8,75,8,17,32,151,19 ,Stade Toulousain,2023-04-22 21:05:00,2022-2023,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,13.9,0.0,2.0,68.0,LONGCHAMP
Stade Toulousain,1,0.36,0.34,0.2,0.64,0.33,4,3,1,0,11,7,1,6,1,11,163,15,13,27,56, 10,Stade Français Paris,2023-04-22 21:05:00,2022-2023,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,13.9,0.0,2.0,68.0,LONGCHAMP
LOU Rugby,0,0.54,0.48,0.53,0.5,0.47,10,2,6,2,18,15,3,2,3,8,123,4,28,33,178, 9,Union Bordeaux-Bègles,2023-04-23 21:05:00,2022-2023,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,13.1,0.0,3.5,82.0,ST SULPICE DE POMMIERS
Union Bordeaux-Bègles,2,0.46,0.52,0.47,0.5,0.53,3,0,3,0,18,13,2,4,3,11,115,12,22,33,145,23 ,LOU Rugby,2023-04-23 21:05:00,2022-2023,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,13.1,0.0,3.5,82.0,ST SULPICE DE POMMIERS
Stade Français Paris,1,0.42,0.46,0.28,0.55,0.46,8,1,5,2,14,10,0,4,3,10,143,8,15,29,88, 16,ASM Clermont,2023-05-06 15:00:00,2022-2023,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,19.4,0.0,3.8,39.0,SUPERBESSE
ASM Clermont,4,0.58,0.54,0.72,0.45,0.54,6,0,5,1,14,11,0,4,2,7,76,8,10,19,145,32 ,Stade Français Paris,2023-05-06 15:00:00,2022-2023,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,19.4,0.0,3.8,39.0,SUPERBESSE
CA Brive,3,0.55,0.46,0.44,0.56,0.46,16,2,11,3,15,10,3,3,2,6,84,17,24,23,94, 27,Montpellier Hérault Rugby,2023-05-06 17:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,19.3,0.0,3.8,69.0,PEZENAS-TOURBES
USA Perpignan,3,0.41,0.41,0.52,0.6,0.46,6,3,3,0,12,11,0,6,4,10,145,17,46,16,103, 31,LOU Rugby,2023-05-06 17:00:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,21.2,0.0,2.7,66.0,BRINDAS
Montpellier Hérault Rugby,4,0.45,0.54,0.56,0.44,0.54,9,0,9,0,13,10,1,9,0,13,114,9,22,22,111,26 ,CA Brive,2023-05-06 17:00:00,2022-2023,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,19.3,0.0,3.8,69.0,PEZENAS-TOURBES
Racing 92,7,0.51,0.5,0.43,0.5,0.5,10,0,8,2,11,9,2,6,2,11,107,4,18,30,153,55 ,Aviron Bayonnais,2023-05-06 17:00:00,2022-2023,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,19.1,0.2,2.8,72.0,LONGCHAMP (Proxy via Stade Français)
Aviron Bayonnais,2,0.49,0.5,0.57,0.5,0.5,6,0,6,0,13,11,2,5,0,9,114,5,32,23,115, 14,Racing 92,2023-05-06 17:00:00,2022-2023,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,19.1,0.2,2.8,72.0,LONGCHAMP (Proxy via Stade Français)
LOU Rugby,5,0.59,0.59,0.48,0.4,0.54,6,1,3,2,11,11,1,4,2,13,88,11,12,13,178,41 ,USA Perpignan,2023-05-06 17:00:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,21.2,0.0,2.7,66.0,BRINDAS
Section Paloise,5,0.56,0.45,0.52,0.55,0.45,6,0,6,0,11,11,0,6,3,10,100,22,28,34,140,40 ,Castres Olympique,2023-05-06 17:00:00,2022-2023,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,19.1,0.0,5.3,66.0,GER
Castres Olympique,0,0.44,0.55,0.48,0.45,0.55,8,1,7,0,15,8,0,9,1,10,127,5,24,23,117, 3,Section Paloise,2023-05-06 17:00:00,2022-2023,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,19.1,0.0,5.3,66.0,GER
RC Toulon,1,0.57,0.67,0.73,0.32,0.65,9,1,4,4,22,21,0,9,1,7,107,7,15,24,191,8 ,Stade Rochelais,2023-05-06 21:05:00,2022-2023,RC Toulon,Local,Perdedor,Stade Mayol,Toulon,Var,14.0,0.0,0.6,65.0,LE CASTELLET-AERO
Stade Rochelais,2,0.43,0.33,0.27,0.68,0.35,11,4,6,1,6,6,0,3,3,14,146,3,29,30,87, 23,RC Toulon,2023-05-06 21:05:00,2022-2023,RC Toulon,Visitante,Ganador,Stade Mayol,Toulon,Var,14.0,0.0,0.6,65.0,LE CASTELLET-AERO
Stade Toulousain,4,0.62,0.65,0.77,0.36,0.71,10,0,9,1,18,14,3,5,1,6,56,6,13,36,136,31 ,Union Bordeaux-Bègles,2023-05-07 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.2,0.0,1.0,95.0,MURET-LHERM
Union Bordeaux-Bègles,2,0.38,0.35,0.23,0.64,0.29,8,0,7,1,15,11,2,6,1,15,146,13,45,38,63, 17,Stade Toulousain,2023-05-07 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.2,0.0,1.0,95.0,MURET-LHERM
USA Perpignan,2,0.44,0.47,0.23,0.53,0.49,8,1,6,1,10,7,1,1,4,6,131,2,33,19,116,26 ,Stade Toulousain,2023-05-13 15:00:00,2022-2023,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,12.7,0.0,3.0,58.0,SERRALONGUE
Stade Toulousain,2,0.56,0.53,0.77,0.47,0.51,5,1,4,0,10,9,2,3,3,11,75,3,20,17,157, 21,USA Perpignan,2023-05-13 15:00:00,2022-2023,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,12.7,0.0,3.0,58.0,SERRALONGUE
Section Paloise,0,0.55,0.55,0.56,0.44,0.55,9,1,7,1,23,21,2,6,0,7,103,6,29,38,166, 0,Union Bordeaux-Bègles,2023-05-13 17:00:00,2022-2023,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,17.6,0.0,3.6,56.0,ST SULPICE DE POMMIERS
Stade Rochelais,4,0.47,0.54,0.47,0.45,0.54,6,0,5,1,12,12,0,5,1,15,109,6,32,17,132, 31,Montpellier Hérault Rugby,2023-05-13 17:00:00,2022-2023,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,16.1,0.0,4.1,76.0,PEZENAS-TOURBES
ASM Clermont,2,0.51,0.49,0.47,0.51,0.49,4,1,3,0,16,16,0,7,2,13,112,5,25,22,100, 18,Aviron Bayonnais,2023-05-13 17:00:00,2022-2023,Aviron Bayonnais,Visitante,Perdedor,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,11.0,1.0,2.9,87.0,GER
Union Bordeaux-Bègles,4,0.45,0.45,0.44,0.56,0.45,8,1,5,2,15,11,2,7,0,14,159,7,13,40,147,28 ,Section Paloise,2023-05-13 17:00:00,2022-2023,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,17.6,0.0,3.6,56.0,ST SULPICE DE POMMIERS
Castres Olympique,1,0.4,0.34,0.47,0.67,0.39,5,2,2,1,16,9,2,7,3,17,178,4,26,23,71, 16,CA Brive,2023-05-13 17:00:00,2022-2023,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,18.8,0.0,3.7,57.0,BRIVE
Montpellier Hérault Rugby,6,0.53,0.46,0.53,0.55,0.46,7,0,6,1,18,16,0,3,0,9,133,8,18,26,150,42 ,Stade Rochelais,2023-05-13 17:00:00,2022-2023,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,16.1,0.0,4.1,76.0,PEZENAS-TOURBES
Aviron Bayonnais,2,0.49,0.51,0.53,0.49,0.51,10,1,7,2,15,13,0,2,3,13,110,5,11,23,107,21 ,ASM Clermont,2023-05-13 17:00:00,2022-2023,Aviron Bayonnais,Local,Ganador,Stade Jean-Dauger,Bayonne,Pyrénées-Atlantiques,11.0,1.0,2.9,87.0,GER
CA Brive,1,0.6,0.66,0.53,0.33,0.61,7,0,7,0,18,13,6,5,2,12,79,5,21,20,187,13 ,Castres Olympique,2023-05-13 17:00:00,2022-2023,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,18.8,0.0,3.7,57.0,BRIVE
RC Toulon,1,0.43,0.43,0.25,0.58,0.41,6,0,6,0,20,12,1,8,0,9,134,7,24,33,83, 7,Racing 92,2023-05-13 21:05:00,2022-2023,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,15.2,0.0,5.2,73.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,6,0.57,0.57,0.75,0.42,0.59,7,0,7,0,15,14,2,7,1,10,83,3,21,38,144,43 ,RC Toulon,2023-05-13 21:05:00,2022-2023,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,15.2,0.0,5.2,73.0,LONGCHAMP (Proxy via Stade Français)
Stade Français Paris,4,0.49,0.46,0.52,0.54,0.47,4,0,4,0,11,9,4,4,1,11,139,8,20,30,88,31 ,LOU Rugby,2023-05-14 21:05:00,2022-2023,Stade Français Paris,Local,Empate,Stade Jean-Bouin,Paris,Paris,13.9,0.0,1.9,69.0,LONGCHAMP
LOU Rugby,4,0.51,0.54,0.48,0.46,0.53,6,0,6,0,18,12,1,4,1,7,88,16,20,20,146, 31,Stade Français Paris,2023-05-14 21:05:00,2022-2023,Stade Français Paris,Visitante,Empate,Stade Jean-Bouin,Paris,Paris,13.9,0.0,1.9,69.0,LONGCHAMP
Union Bordeaux-Bègles,3,0.51,0.53,0.58,0.45,0.52,6,2,3,1,16,15,2,6,0,9,108,8,25,25,127, 19,RC Toulon,2023-05-28 21:05:00,2022-2023,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,17.2,0.0,0.7,63.0,LE CASTELLET-AERO
Section Paloise,5,0.58,0.55,0.67,0.46,0.54,10,1,8,1,20,19,2,6,0,7,87,12,11,31,169,35 ,Montpellier Hérault Rugby,2023-05-28 21:05:00,2022-2023,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,15.7,0.0,0.6,94.0,GER
CA Brive,1,0.55,0.57,0.56,0.43,0.55,6,0,6,0,13,12,4,3,1,13,111,6,28,15,141, 10,Stade Toulousain,2023-05-28 21:05:00,2022-2023,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,17.7,0.0,4.0,82.0,MURET-LHERM
Stade Toulousain,8,0.45,0.43,0.44,0.57,0.45,9,0,8,1,14,8,0,5,0,14,131,8,26,17,125,54 ,CA Brive,2023-05-28 21:05:00,2022-2023,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,17.7,0.0,4.0,82.0,MURET-LHERM
Stade Français Paris,1,0.45,0.51,0.52,0.48,0.51,6,0,6,0,13,10,1,5,1,8,141,7,15,25,120, 10,Stade Rochelais,2023-05-28 21:05:00,2022-2023,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,19.9,0.0,2.0,67.0,NUAILLE SUR BOUTONNE
Stade Rochelais,2,0.55,0.49,0.48,0.52,0.49,11,1,8,2,16,15,1,3,0,8,101,9,20,29,135,14 ,Stade Français Paris,2023-05-28 21:05:00,2022-2023,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,19.9,0.0,2.0,67.0,NUAILLE SUR BOUTONNE
Montpellier Hérault Rugby,1,0.42,0.45,0.33,0.54,0.46,9,1,6,2,8,6,1,6,1,17,157,6,25,33,104, 10,Section Paloise,2023-05-28 21:05:00,2022-2023,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,15.7,0.0,0.6,94.0,GER
Aviron Bayonnais,3,0.44,0.49,0.52,0.51,0.5,3,0,3,0,21,20,1,3,0,18,124,4,36,25,137, 19,LOU Rugby,2023-05-28 21:05:00,2022-2023,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,18.4,0.0,2.7,59.0,BRINDAS
USA Perpignan,1,0.61,0.47,0.66,0.53,0.47,14,2,8,4,11,9,1,8,3,13,64,4,18,26,130, 16,Castres Olympique,2023-05-28 21:05:00,2022-2023,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,17.2,0.0,2.3,55.0,MONTREDON-LABESSONNIE
Castres Olympique,2,0.39,0.53,0.34,0.47,0.53,4,1,3,0,14,8,0,7,4,12,163,16,26,24,81,26 ,USA Perpignan,2023-05-28 21:05:00,2022-2023,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,17.2,0.0,2.3,55.0,MONTREDON-LABESSONNIE
Racing 92,3,0.39,0.42,0.29,0.57,0.42,4,1,3,0,9,6,3,5,2,15,113,5,26,23,71, 25,ASM Clermont,2023-05-28 21:05:00,2022-2023,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,13.5,0.0,2.6,74.0,SUPERBESSE
ASM Clermont,5,0.61,0.58,0.71,0.43,0.58,8,0,8,0,22,16,2,4,0,6,66,12,14,23,85,32 ,Racing 92,2023-05-28 21:05:00,2022-2023,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,13.5,0.0,2.6,74.0,SUPERBESSE
RC Toulon,5,0.49,0.47,0.42,0.55,0.48,8,0,6,2,19,16,0,2,0,10,99,10,23,28,123,35 ,Union Bordeaux-Bègles,2023-05-28 21:05:00,2022-2023,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,17.2,0.0,0.7,63.0,LE CASTELLET-AERO
LOU Rugby,7,0.56,0.51,0.48,0.49,0.5,8,1,6,1,13,9,1,3,2,8,92,2,19,22,135,53 ,Aviron Bayonnais,2023-05-28 21:05:00,2022-2023,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,18.4,0.0,2.7,59.0,BRINDAS
Stade Français Paris,2,0.59,0.61,0.68,0.39,0.61,10,1,8,1,19,18,0,5,2,12,70,4,21,33,90,20 ,Racing 92,2023-06-03 14:00:00,2022-2023,Stade Français Paris,Local,Perdedor,Stade Jean-Bouin,Paris,Paris,24.6,0.0,3.6,39.0,LONGCHAMP
Racing 92,3,0.41,0.39,0.32,0.61,0.39,6,1,5,0,17,12,1,3,4,16,113,10,8,34,84, 33,Stade Français Paris,2023-06-03 14:00:00,2022-2023,Stade Français Paris,Visitante,Ganador,Stade Jean-Bouin,Paris,Paris,24.6,0.0,3.6,39.0,LONGCHAMP
